Edad	Vivienda	Genero	Dependiente	Estado_Civil	Cargas	Egresos	Ingresos	Deuda	Dias_Atraso	Consumos_TC	Antiguedad	Score	Numero_TC	Antiguedad_TC	Cupo_TC	Comprometido	Cupo_Promedio
27	Familiar	Masculino	No	Soltero	0		314	1852,56	0	1	3	294	2		1050	0,33	2100
20	Familiar	Masculino	No	Soltero	0	200	500	1142,07	0	1	2	135	2		750	0,23	1500
59	Familiar	Masculino	No	Soltero	0		414	1987,93	0	1	90	909	2		1100	0,46	2200
37	Familiar	Masculino	No	Soltero	0			2673,35	0	1	90	44	2		1450	0,35	2900
21	Familiar	Masculino	No	Soltero	0		456	1525,82	0	1	10	25	2		850	0,27	1700
30	Familiar	Masculino	No	Soltero	0		295	1571,48	0	1	41	892	2		900	0,44	1800
21	Familiar	Masculino	No	Soltero	0			1481,16	0	1	32	510	2		940,58	0,22	1881,16
29	Familiar	Masculino	No	Soltero	0			3664,58	0	1	86	939	2		2332,29	0,25	4664,58
26	Familiar	Masculino	No	Soltero	0	480	1200	3279,75	0	1	11	886	2		2777,26	0,28	5554,52
22	Familiar	Masculino	No	Soltero	0			1373,36	0	1	40	889	2		750	0,28	1500
22	Familiar	Masculino	No	Soltero	0			1213,96	0	1	41	282	2		650	0,27	1300
22	Familiar	Masculino	No	Soltero	0	280	700	1822,34	0	1	9	262	2		1000	0,34	2000
21	Familiar	Masculino	No	Soltero	0	360	900	1513,57	0	1	2	898	2		800	0,26	1600
23	Familiar	Masculino	No	Soltero	0		29	1775,44	0	1	21	25	2		1000	0,4	2000
31	Familiar	Masculino	No	Soltero	0			1564,11	0	1	36	890	2		900	0,29	1800
20	Familiar	Masculino	No	Soltero	0	320	800	1428,92	0	1	3	247	2		800	0,22	1600
22	Familiar	Masculino	No	Soltero	0			1129,81	0	1	1	917	2		650	0,3	1300
30	Familiar	Masculino	No	Soltero	0		267	1642,45	0	1	57	780	2		950		1900
43	Familiar	Masculino	No	Soltero	0		66	2261,96	0	1	52	133	2		1430,98		2861,96
43	Familiar	Masculino	No	Soltero	0		59	2312,39	0	1	20	515	2		1250		2500
40	Familiar	Masculino	No	Soltero	0		327	1435,97	0	1	111	65	2		917,99		1835,97
35	Familiar	Femenino	No	Soltero	0	480	264	2138,96	0	1	66	37	2		1200		2400
26	Familiar	Masculino	No	Soltero	0			1184,62	0	1	36	538	2		650		1300
25	Familiar	Masculino	No	Soltero	0	320	800	1486,82	0	1	37	28	2		800		1600
21	Familiar	Masculino	No	Soltero	0			1270,55	0	1	18	544	2		700		1400
26	Familiar	Masculino	No	Soltero	0	320	386	1882,16	0	1	10	113	2		1050		2100
24	Familiar	Masculino	No	Soltero	0			1938,87	0	1	6	879	2		1100		2200
27	Familiar	Masculino	No	Soltero	0			1111,04	0	1	68	32	2		600		1200
25	Familiar	Masculino	No	Soltero	0	360	900	1326,84	0	1	5	879	2		750		1500
22	Familiar	Masculino	No	Soltero	0	480	1200	2303,03	0	1	1	874	2		1250		2500
25	Familiar	Masculino	No	Soltero	0		59	963,42	0	1	1	917	2		550		1100
23	Familiar	Masculino	No	Soltero	0		273	1058,31	0	1	1	917	2		605		1210
21	Familiar	Masculino	No	Soltero	0	480	1200	2363,28	0	1	1	874	2		1300		2600
20	Familiar	Masculino	No	Soltero	0	480	1200	2504,78	0	1	1	874	2		1350		2700
23	Familiar	Masculino	No	Soltero	0			1063,06	0	1	1	917	2		600		1200
21	Familiar	Masculino	No	Soltero	0			774,56	0	1	1	917	2		500		1000
19	Familiar	Masculino	No	Soltero	0	480	1200	2339,4	0	1	1	874	2		1300		2600
65	Familiar	Masculino	No	Soltero	0			726,34	0	1	26	884	2		450		900
42	Familiar	Masculino	No	Soltero	0			2083,49	0	1	21	885	2		1150		2300
42	Familiar	Masculino	No	Soltero	0			1415,93	0	1	68	500	2		900		1800
42	Familiar	Masculino	No	Soltero	0	440	1100	3449,19	0	1	87	51	2		1900		3800
42	Familiar	Masculino	No	Soltero	0	800	2000	2211,13	0	1	16	880	2		1200		2400
38	Familiar	Masculino	No	Soltero	0	400	1000	1507,57	0	1	3	879	2		800		1600
34	Familiar	Masculino	No	Soltero	0		333	1745,74	0	1	9	480	2		1050		2100
29	Familiar	Masculino	No	Soltero	0		300	1540,47	0	1	55	40	2		850		1700
21	Familiar	Masculino	No	Soltero	0	360	900	1207,86	0	1	1	874	2		650		1300
23	Familiar	Masculino	No	Soltero	0		390	1225,94	0	1	1	917	2		700		1400
25	Familiar	Masculino	No	Soltero	0	680	1700	1489,8	0	1	10	27	2		800		1600
63	Familiar	Masculino	No	Soltero	0			1465,57	0	1	56	909	2		800		1600
54	Familiar	Masculino	No	Soltero	0			2051,29	0	1	81	902	2		1150		2300
48	Familiar	Masculino	No	Soltero	0			1928,64	0	1	1	917	2		1100		2200
43	Familiar	Masculino	No	Soltero	0		414	1713,83	0	1	1	917	2		950		1900
25	Familiar	Masculino	No	Soltero	0	360	900	1414,77	0	1	46	924	2		800		1600
28	Familiar	Masculino	No	Soltero	0	320	800	1717,58	0	1	84	50	2		950		1900
25	Familiar	Masculino	No	Soltero	0			1783,54	0	1	7	754	2		1050		2100
24	Familiar	Masculino	No	Soltero	0	360	900	1549,4	0	1	16	472	2		900		1800
38	Alquilada	Femenino	Sin Info	Soltero	0			2306	0	13	86	918	1		1800		1800
19	Familiar	Masculino	No	Soltero	0			1544,32	0	1	1	874	2		900		1800
21	Familiar	Masculino	No	Soltero	0			1315,27	0	1	1	874	2		850		1700
19	Familiar	Masculino	No	Soltero	0			1183,57	0	1	1	929	2		650		1300
19	Familiar	Masculino	No	Soltero	0	360	900	1336,1	0	1	1	874	2		750		1500
22	Familiar	Masculino	No	Soltero	0			1312,39	0	1	1	917	2		700		1400
33	Familiar	Masculino	No	Soltero	0			1314,23	0	1	63	36	2		700		1400
29	Familiar	Masculino	No	Soltero	0		293	3186,22	0	1	25	935	2		2043,11		4086,22
30	Familiar	Masculino	No	Soltero	0		548	2613,49	0	1	1	874	2		1400		2800
25	Familiar	Masculino	No	Soltero	0			2406,62	0	1	47	896	2		1300		2600
20	Familiar	Masculino	No	Soltero	0			2429,26	0	1	1	874	2		1550		3100
20	Familiar	Masculino	No	Soltero	0		292	1014,63	0	1	1	917	2		650		1300
34	Familiar	Masculino	No	Soltero	0			1302,28	0	1	70	654	2		700		1400
44	Familiar	Masculino	No	Soltero	0	360	360	1904,89	0	1	75	9	2		1050		2100
44	Familiar	Masculino	No	Soltero	0	520	1300	1390,51	0	1	86	464	2		750		1500
43	Familiar	Masculino	No	Soltero	0	840	2100	1598,33	0	1	23	893	2		900		1800
41	Familiar	Masculino	No	Soltero	0		350	1338,99	0	1	1	917	2		750		1500
25	Familiar	Masculino	No	Soltero	0			1348,59	0	1	35	763	2		750		1500
30	Familiar	Masculino	No	Soltero	0			1166,16	0	1	26	884	2		650		1300
29	Familiar	Masculino	No	Soltero	0			1789,71	0	1	1	917	2		1000		2000
23	Familiar	Masculino	No	Soltero	0	360	900	1918,17	0	1	1	874	2		1050		2100
27	Familiar	Masculino	No	Soltero	0			1150,29	0	1	1	917	2		650		1300
25	Familiar	Masculino	No	Soltero	0			1408,87	0	1	1	874	2		900		1800
26	Familiar	Masculino	No	Soltero	0			1313,47	0	1	1	917	2		700		1400
23	Familiar	Masculino	No	Soltero	0	360	264	2195,45	0	1	1	874	2		1200		2400
24	Familiar	Masculino	No	Soltero	0	240	600	1149,12	0	1	8	26	2		650		1300
24	Familiar	Masculino	No	Soltero	0		292	1285,01	0	1	1	917	2		700		1400
24	Familiar	Masculino	No	Soltero	0		473	1035,53	0	1	1	917	2		650		1300
18	Familiar	Masculino	No	Soltero	0			1316,58	0	1	1	874	2		800		1600
19	Familiar	Masculino	No	Soltero	0	320	800	1293,67	0	1	18	27	2		700		1400
23	Familiar	Masculino	No	Soltero	0		535	2624,88	0	1	1	874	2		1650		3300
23	Familiar	Masculino	No	Soltero	0			1443,99	0	1	1	874	2		922		1843,99
20	Familiar	Masculino	No	Soltero	0	640	1600	1503,94	0	1	10	301	2		800		1600
46	Familiar	Masculino	No	Soltero	0			2187,24	0	1	127	19	2		1200		2400
49	Familiar	Masculino	No	Soltero	0			1363,96	0	1	54	65	2		750		1500
44	Familiar	Masculino	No	Soltero	0			1385,34	0	1	97	957	2		892,67		1785,34
42	Familiar	Masculino	No	Soltero	0			1595,79	0	1	1	946	2		900		1800
37	Familiar	Masculino	No	Soltero	0	400	1000	1876,46	0	1	15	883	2		1050		2100
37	Familiar	Masculino	No	Soltero	0	400	1000	1155,21	0	1	2	898	2		650		1300
32	Familiar	Masculino	Si	Soltero	0		517	1307,42	0	1	89	928	2		750		1500
23	Familiar	Masculino	No	Soltero	0			1415,99	0	1	1	874	2		908		1815,99
22	Familiar	Masculino	No	Soltero	0			1401,66	0	1	5	239	2		900		1800
26	Familiar	Masculino	No	Soltero	0			1157,43	0	1	13	31	2		650		1300
23	Familiar	Masculino	No	Soltero	0			1101,17	0	1	1	946	2		600		1200
18	Familiar	Masculino	No	Soltero	0			1665,39	0	1	1	874	2		1082,69		2165,39
18	Familiar	Masculino	No	Soltero	0			1401,42	0	1	1	874	2		900		1800
19	Familiar	Masculino	No	Soltero	0			969,27	0	1	1	917	2		550		1100
22	Familiar	Masculino	No	Soltero	0	320	800	1368,99	0	1	27	891	2		750		1500
23	Familiar	Masculino	No	Soltero	0			1077,97	0	1	1	874	2		688,99		1377,97
23	Familiar	Masculino	No	Soltero	0		349	1256,88	0	1	1	917	2		700		1400
26	Sin Info	Femenino	Sin Info	Soltero	0		1288	5200	0	12	28	952	5		1290		2150
27	Familiar	Femenino	No	Casado	1	730	1481	0	0	11	59	947	4		1550		6200
29	Familiar	Femenino	No	Soltero	0	80	500	1710,78	0	1	57	296	2		950		1900
63	Familiar	Masculino	No	Soltero	0	600	1500	2684,77	0	1	13	726	2		1450		2900
44	Familiar	Masculino	No	Soltero	0			1693,79	0	1	88	860	2		1050		2100
32	Familiar	Masculino	No	Soltero	0	400	1000	1413,42	0	1	5	879	2		750		1500
25	Familiar	Masculino	No	Soltero	0	360	900	2041,23	0	1	1	874	2		1150		2300
27	Familiar	Masculino	No	Soltero	0	320	800	1471,11	0	1	3	239	2		800		1600
22	Familiar	Masculino	No	Soltero	0	360	900	1616,55	0	1	26	759	2		900	0,24	1800
34	Familiar	Masculino	No	Soltero	0	240	600	1110,88	0	1	42	38	2		600	0,24	1200
21	Familiar	Masculino	No	Soltero	0			1036,55	0	1	24	29	2		600	0,32	1200
51	Familiar	Masculino	No	Soltero	0	360	264	1333,63	0	1	55	4	2		750	0,19	1500
40	Familiar	Masculino	No	Soltero	0			1590,76	0	1	85	639	2		1045,38	0,55	2090,76
36	Familiar	Masculino	No	Soltero	0			1330,56	0	1	23	890	2		750	0,28	1500
33	Familiar	Masculino	No	Soltero	0	840	2100	2124,86	0	1	114	693	2		1300	0,28	2600
34	Familiar	Masculino	No	Soltero	0		59	1259,47	0	1	20	887	2		700	0,31	1400
35	Propia	Masculino	No	Casado	1	435	888	1752,7	0	1	5	879	2		1050	0,32	2100
29	Familiar	Masculino	No	Soltero	0		357	2196,71	0	1	2	871	2		1200	0,36	2400
29	Familiar	Masculino	No	Soltero	0	520	1300	2353,72	0	1	39	933	2		1300	0,26	2600
28	Familiar	Masculino	No	Soltero	0	400	1000	1876,45	0	1	21	884	2		1050	0,3	2100
27	Familiar	Masculino	No	Soltero	0		264	1551,39	0	1	1	917	2		900	0,3	1800
32	Familiar	Masculino	No	Soltero	0	400	1000	1466,33	0	1	1	874	2		800	0,2	1600
25	Familiar	Masculino	No	Soltero	0	360	349	1804,9	0	1	1	874	2		1050	0,27	2100
27	Familiar	Masculino	No	Soltero	0	400	303	1739,31	0	1	30	745	2		1000	0,26	2000
32	Familiar	Masculino	No	Soltero	0		411	2098,67	0	1	35	571	2		1349,34	0,29	2698,67
28	Familiar	Masculino	No	Soltero	0		146	1552,22	0	1	87	725	2		876,11	0,23	1752,22
33	Familiar	Masculino	No	Soltero	0	520	1300	2339,4	0	1	1	874	2		1300	0,26	2600
22	Familiar	Masculino	No	Soltero	0		300	982,58	0	1	1	917	2		550	0,25	1100
26	Familiar	Masculino	No	Soltero	0			1056,19	0	1	24	883	2		600	0,25	1200
27	Familiar	Masculino	No	Soltero	0			1299,96	0	1	53	933	2		849,98	0,23	1699,96
24	Familiar	Masculino	No	Soltero	0	360	900	1789,44	0	1	26	740	2		1050	0,27	2100
24	Familiar	Masculino	No	Soltero	0	400	1000	1492,18	0	1	1	917	2		800	0,27	1600
22	Familiar	Masculino	No	Soltero	0		311	2799,32	0	1	1	874	2		1799,66	0,33	3599,32
26	Familiar	Masculino	No	Soltero	0	360	900	1681,27	0	1	1	874	2		950	0,25	1900
40	Familiar	Masculino	No	Soltero	0	360	900	1718,65	0	1	1	874	2		950	0,26	1900
20	Familiar	Masculino	No	Soltero	0	480	1200	2383,37	0	1	1	874	2		1300	0,28	2600
21	Familiar	Masculino	No	Soltero	0			1380,36	0	1	1	874	2		750	0,21	1500
44	Familiar	Masculino	No	Soltero	0			1870,76	0	1	57	561	2		1050	0,32	2100
49	Familiar	Masculino	No	Soltero	0	360	264	1701,21	0	1	33	3	2		950	0,31	1900
35	Familiar	Masculino	No	Soltero	0	360	900	1870,58	0	1	38	30	2		1050	0,35	2100
34	Familiar	Masculino	No	Soltero	0		264	1285,46	0	1	9	879	2		700	0,08	1400
30	Sin Info	Masculino	Sin Info	Soltero	0		750	221,5	0	13	58	911	1		300	0,12	300
34	Familiar	Masculino	No	Soltero	0		66	1227,99	0	1	1	917	2		700	0,28	1400
28	Familiar	Masculino	No	Soltero	0	360	264	1419,87	0	1	13	259	2		800	0,28	1600
22	Familiar	Masculino	No	Soltero	0			2106,31	0	1	36	892	2	0	1350	0,31	2700
21	Familiar	Masculino	No	Soltero	0	480	1200	2842,98	0	1	1	874	2	0	1550	0,34	3100
23	Familiar	Masculino	No	Soltero	0	480	1200	2339,4	0	1	1	874	2	0	1300	0,28	2600
26	Familiar	Masculino	No	Soltero	0		221	502,23	0	1	34	564	2	0	301,12	0,16	602,23
23	Familiar	Masculino	No	Soltero	0	360	900	1303,42	0	1	1	874	2	0	700	0,2	1400
20	Familiar	Masculino	No	Soltero	0			1386,73	0	1	1	874	2	0	893,37	0,21	1786,73
54	Familiar	Masculino	No	Soltero	0			1326,91	0	1	162	624	2	0	750	0,22	1500
50	Familiar	Masculino	No	Soltero	0	480	1200	1499,06	0	1	97	40	2	0	800	0,33	1600
45	Familiar	Masculino	No	Soltero	0			1346,45	0	1	176	835	2	0	873,23	0,16	1746,45
42	Familiar	Masculino	No	Soltero	0		331	1714,83	0	1	19	887	2	0	950	0,3	1900
46	Familiar	Masculino	No	Soltero	0		292	1135,85	0	1	29	891	2	0	650	0,28	1300
42	Familiar	Masculino	No	Soltero	0			3581,77	0	1	129	381	2	0	2290,89	0,31	4581,77
35	Familiar	Masculino	No	Soltero	0			1485,22	0	1	1	917	2	0	800	0,26	1600
37	Familiar	Masculino	No	Soltero	0	400	1000	1523,61	0	1	86	10	2	0	850	0,43	1700
38	Familiar	Masculino	No	Soltero	0	560	1400	2880,06	0	1	11	480	2	0	1550	0,29	3100
37	Familiar	Masculino	No	Soltero	0			1350,11	0	1	96	896	2	0	875,05	0,22	1750,11
32	Familiar	Masculino	No	Soltero	0	840	2100	3055,72	0	1	28	769	2	0	1900	0,27	3800
37	Familiar	Masculino	No	Soltero	0		349	1367,03	0	1	62	2	2	0	750	0,42	1500
33	Familiar	Masculino	No	Soltero	0	520	1300	2533,67	0	1	1	874	2	0	1400	0,27	2800
32	Familiar	Masculino	No	Soltero	0			1595,79	0	1	42	493	2	0	900	0,32	1800
22	Familiar	Masculino	No	Soltero	0	360	900	1488,43	0	1	1	874	2	0	800	0,22	1600
28	Familiar	Masculino	No	Soltero	0			1184,82	0	1	85	12	2	0	650	0,44	1300
23	Familiar	Masculino	No	Soltero	0			1215,47	0	1	51	285	2	0	807,74	0,19	1615,47
27	Familiar	Masculino	No	Soltero	0		500	1610,96	0	1	21	569	2	0	1050	0,35	2100
25	Familiar	Masculino	No	Soltero	0		410	1473,58	0	1	1	874	2	0	850	0,21	1700
26	Familiar	Masculino	No	Soltero	0	360	900	1447,78	0	1	1	874	2	0	800	0,21	1600
27	Familiar	Masculino	No	Soltero	0	360	900	1199,72	0	1	1	874	2	0	650	0,17	1300
19	Familiar	Masculino	No	Soltero	0			1133,07	0	1	1	874	2	0	650	0,23	1300
19	Familiar	Masculino	No	Soltero	0			966,03	0	1	1	917	2	0	650	0,26	1300
20	Familiar	Masculino	No	Soltero	0	360	900	1348,82	0	1	1	874	2	0	750	0,2	1500
26	Familiar	Masculino	No	Soltero	0	360	900	1664,43	0	1	18	507	2	0	950	0,25	1900
20	Familiar	Masculino	No	Soltero	0		293	1839,12	0	1	1	874	2	0	1050	0,28	2100
22	Familiar	Masculino	No	Soltero	0	360	900	1539,14	0	1	1	874	2	0	850	0,23	1700
20	Familiar	Masculino	No	Soltero	0			1636,04	0	1	10	880	2	0	950	0,34	1900
20	Familiar	Masculino	No	Soltero	0	360	900	1498,56	0	1	1	874	2	0	800	0,23	1600
19	Familiar	Masculino	No	Soltero	0	360	900	1208,52	0	1	1	874	2	0	650	0,18	1300
22	Familiar	Masculino	No	Soltero	0	360	900	1496,88	0	1	1	874	2	0	800	0,23	1600
23	Familiar	Masculino	No	Soltero	0	360	900	1672,77	0	1	24	886	2	0	950	0,25	1900
23	Familiar	Masculino	No	Soltero	0		292	1514,04	0	1	1	874	2	0	800	0,23	1600
19	Familiar	Masculino	No	Soltero	0	360	900	1262,14	0	1	1	874	2	0	700	0,19	1400
20	Familiar	Masculino	No	Soltero	0	320	800	1433,53	0	1	3	254	2	0	800	0,22	1600
22	Familiar	Masculino	No	Soltero	0		357	1188,84	0	1	1	874	2	0	650	0,18	1300
19	Familiar	Masculino	No	Soltero	0			2040,98	0	1	1	874	2	0	1320,49	0,31	2640,98
27	Familiar	Masculino	No	Soltero	0			1232,65	0	1	1	874	2	0	816,33	0,19	1632,65
39	Familiar	Masculino	No	Soltero	0			1671,66	0	1	1	917	2	0	950	0,3	1900
35	Familiar	Masculino	No	Soltero	0	280	700	1098,8	0	1	2	898	2	0	800	0,17	1600
31	Familiar	Masculino	No	Soltero	0		264	1585,37	0	1	60	852	2	0	950	0,33	1900
23	Familiar	Masculino	No	Soltero	0	360	264	1199,99	0	1	25	498	2	0	650	0,18	1300
24	Familiar	Masculino	No	Soltero	0	280	700	915,87	0	1	1	874	2	0	550	0,18	1100
23	Familiar	Masculino	No	Soltero	0			1199,62	0	1	1	946	2	0	1000	0,35	2000
48	Familiar	Masculino	No	Soltero	0			1648,22	0	1	58	944	2	0	950	0,6	
37	Familiar	Masculino	No	Soltero	0			1676,54	0	1	1	917	2	0	1050	0,3	
38	Familiar	Masculino	No	Soltero	0		292	1599,67	0	1	1	917	2	0	900	0,27	
23	Familiar	Masculino	No	Soltero	0		309	1193,3	0	1	1	917	2	0	650	0,32	
22	Familiar	Masculino	No	Soltero	0			1084,41	0	1	1	874	2	0	692,21	0,22	
33	Familiar	Masculino	No	Soltero	0			1873,6	0	1	33	540	2	0	1050	0,35	
25	Familiar	Masculino	No	Soltero	0		292	1469,24	0	1	20	884	2	0	850	0,27	
22	Familiar	Masculino	No	Soltero	0		264	1225,94	0	1	31	739	2	0	700	0,18	
49	Familiar	Masculino	No	Soltero	0			1384,48	0	1	88	908	2	0	750	0,48	
46	Familiar	Masculino	No	Soltero	0			2223,86	0	1	1	874	2	0	1200	0,27	
48	Familiar	Masculino	No	Soltero	0			1569,17	0	1	1	917	2	0	900	0,25	
47	Familiar	Masculino	No	Soltero	0		264	1780,71	0	1	71	45	2	0	1050	0,37	
47	Familiar	Masculino	No	Soltero	0		443	1422,29	0	1	72	7	2	0	1000	0,33	
47	Familiar	Masculino	No	Soltero	0	280	700	979,67	0	1	83	47	2	0	550	0,16	
43	Familiar	Masculino	No	Soltero	0			988,58	0	1	1	917	2	0	550	0,22	
43	Familiar	Masculino	No	Soltero	0			2033,32	0	1	1	917	2	0	1316,66	0,22	
35	Familiar	Masculino	No	Soltero	0	400	1000	1967,71	0	1	62	923	2	0	1100	0,26	
35	Familiar	Masculino	No	Soltero	0	320	339	1432,87	0	1	77	8	2	0	800	0,22	
32	Familiar	Masculino	No	Soltero	0		482	1424,87	0	1	173	661	2	0	800	0,4	
31	Familiar	Masculino	No	Soltero	0	400	272	1747,73	0	1	54	562	2	0	1050	0,3	
23	Familiar	Masculino	No	Soltero	0		327	1042,32	0	1	7	469	2	0	600	0,37	
27	Familiar	Masculino	No	Soltero	0	400	1000	1728,8	0	1	58	910	2	0	1050	0,24	
27	Familiar	Masculino	No	Soltero	0	440	1100	1336,1	0	1	20	883	2	0	750	0,39	
28	Familiar	Masculino	No	Soltero	0			1091,1	0	1	92	931	2	0	695,55	0,2	
25	Familiar	Masculino	No	Soltero	0	360	900	1180,14	0	1	1	874	2	0	650	0,18	
26	Familiar	Masculino	No	Soltero	0			1054,09	0	1	1	874	2	0	677,04	0,2	
26	Familiar	Masculino	No	Soltero	0			1177,12	0	1	26	782	2	0	638,56	0,18	
25	Familiar	Masculino	No	Soltero	0			1266,92	0	1	11	724	2	0	700	0,2	
23	Familiar	Masculino	No	Soltero	0	360	900	1286,91	0	1	1	874	2	0	700	0,19	
25	Familiar	Masculino	No	Soltero	0	360	900	1170,02	0	1	1	874	2	0	650	0,18	
23	Familiar	Masculino	No	Soltero	0	360	264	1326,98	0	1	1	874	2	0	750	0,2	
24	Familiar	Masculino	No	Soltero	0			1487,29	0	1	33	286	2	0	943,64	0,22	
21	Familiar	Masculino	No	Soltero	0	680	264	1353,32	0	1	9	428	2	0	750	0,43	
24	Familiar	Masculino	No	Soltero	0			1248,17	0	1	1	874	2	0	700	0,19	
22	Familiar	Masculino	No	Soltero	0	360	900	1230,65	0	1	1	874	2	0	700	0,18	
25	Familiar	Masculino	No	Soltero	0			1729,27	0	1	1	874	2	0	1050	0,26	
23	Familiar	Masculino	No	Soltero	0	320	800	1274,09	0	1	1	874	2	0	700	0,19	
23	Familiar	Masculino	No	Soltero	0			1325,31	0	1	1	874	2	0	750	0,2	
21	Familiar	Masculino	No	Soltero	0		292	1256,88	0	1	15	249	2	0	700	0,19	
20	Familiar	Masculino	No	Soltero	0	360	900	1207,75	0	1	1	874	2	0	650	0,18	1300
20	Familiar	Masculino	No	Soltero	0	360	900	1406,24	0	1	2	908	2	0	800	0,21	1600
19	Familiar	Masculino	No	Soltero	0	360	900	1337,76	0	1	1	874	2	0	750	0,2	1500
19	Familiar	Masculino	No	Soltero	0	360	900	1236,95	0	1	1	874	2	0	700	0,19	1400
57	Familiar	Masculino	No	Soltero	0	600	695	1881,49	0	1	83	675	2	0	1050	0,36	2100
42	Familiar	Masculino	No	Soltero	0	400	411	1263,78	0	1	46	810	2	0	700	0,18	1400
39	Familiar	Masculino	No	Soltero	0	360	900	1730,92	0	1	22	731	2	0	1000	0,23	2000
32	Familiar	Masculino	No	Soltero	0	320	800	1445,8	0	1	43	37	2	0	800	0,23	1600
35	Familiar	Masculino	No	Soltero	0	400	1000	1513,13	0	1	1	874	2	0	800	0,2	1600
34	Familiar	Masculino	No	Soltero	0		205	1976,19	0	1	70	279	2	0	1833,6	0,3	3667,2
32	Familiar	Masculino	No	Soltero	0	360	900	1105,81	0	1	62	630	2	0	750	0,21	1500
25	Familiar	Masculino	No	Soltero	0	360	900	1543,74	0	1	1	874	2	0	900	0,23	1800
25	Familiar	Masculino	No	Soltero	0	360	900	1273,76	0	1	1	874	2	0	700	0,19	1400
25	Familiar	Masculino	No	Soltero	0		521	1137,7	0	1	1	874	2	0	718,85	0,27	1437,7
24	Familiar	Masculino	No	Soltero	0	360	900	1743,81	0	1	1	874	2	0	1050	0,26	2100
24	Familiar	Masculino	No	Soltero	0	280	700	1338,04	0	1	25	31	2	0	750	0,24	1500
